TITLE,JRH_2056-13,,
DATA TYPE,,,
ORIGIN,JASCO,,
OWNER,,,
DATE,20/12/10,,
TIME,11:49:13,,
SPECTROMETER/DATA SYSTEM,,,
LOCALE,1033,,
RESOLUTION,,,
DELTAX,-1,,
XUNITS,NANOMETERS,,
YUNITS,CD [mdeg],,
Y2UNITS,HT [V],,
Y3UNITS,ABSORBANCE,,
FIRSTX,450,,
LASTX,190,,
NPOINTS,261,,
FIRSTY,0.29016,,
MAXY,11.74612,,
MINY,-10.36938,,
XYDATA,,,
450,0.290165,293.282,0.0237839
449,0.316567,297.779,0.0260849
448,0.352862,299.424,0.0239416
447,0.0693293,299.317,0.0236484
446,0.194287,298.873,0.0234
445,0.142787,298.417,0.0232609
444,0.2229,298.064,0.0232645
443,0.261556,297.68,0.0236425
442,0.141653,297.261,0.0240017
441,0.0757721,296.994,0.0244225
440,0.0668126,296.539,0.024215
439,0.321999,295.52,0.0236533
438,0.330343,295.063,0.0238583
437,0.292143,295.618,0.024358
436,0.349097,296.086,0.0245095
435,0.350273,296.127,0.0243215
434,0.225239,295.963,0.0241233
433,0.162883,295.761,0.0243448
432,0.222027,295.535,0.0244403
431,0.288427,295.284,0.0245704
430,0.216016,294.995,0.0246943
429,0.331909,294.67,0.0245554
428,0.289397,294.35,0.024667
427,0.0713303,294.022,0.0248745
426,0.0421224,293.73,0.0251695
425,0.0682078,293.41,0.0253179
424,0.310886,293.024,0.025184
423,0.27629,292.621,0.0252451
422,0.197848,292.051,0.0257636
421,0.178623,290.971,0.0257654
420,0.250445,289.773,0.025851
419,0.166465,290.011,0.0270103
418,0.301051,291.054,0.0276987
417,0.336157,291.235,0.0272342
416,0.34733,290.984,0.0273452
415,0.224306,290.629,0.0276149
414,0.30523,290.101,0.0279299
413,0.326593,289.497,0.0284535
412,0.254637,289.199,0.0288328
411,0.325298,289.217,0.0294707
410,0.274646,289.17,0.0297028
409,0.280173,288.982,0.0299072
408,0.168945,289.057,0.0305949
407,0.222119,289.201,0.031364
406,0.221049,289.126,0.0319135
405,0.338917,289.031,0.0324729
404,0.3109,288.98,0.033208
403,0.211298,288.784,0.0336602
402,0.248261,288.469,0.034072
401,0.221192,287.964,0.0351782
400,0.291163,287.164,0.0353766
399,0.277113,286.213,0.0362227
398,0.282261,285.517,0.0371014
397,0.280125,285.372,0.0378613
396,0.287929,285.762,0.0387747
395,0.393384,286.492,0.0396799
394,0.395971,286.985,0.0401057
393,0.439028,287.217,0.0406167
392,0.344061,287.422,0.0414071
391,0.196343,287.519,0.0419468
390,0.347886,287.652,0.0424136
389,0.512723,287.876,0.0432251
388,0.476818,287.994,0.0433587
387,0.574259,287.968,0.0437002
386,0.551282,287.841,0.044285
385,0.477535,287.658,0.0449093
384,0.410979,287.421,0.0453525
383,0.519532,287.173,0.0458621
382,0.562735,286.896,0.0462701
381,0.624226,286.716,0.0466564
380,0.732334,286.619,0.0471871
379,0.578016,286.575,0.0477784
378,0.507249,286.543,0.0487272
377,0.636208,286.519,0.0492886
376,0.577647,286.471,0.0498046
375,0.645233,286.403,0.0507785
374,0.678194,286.288,0.0516756
373,0.644253,286.105,0.0523446
372,0.793135,285.912,0.0529975
371,0.873054,285.787,0.0539389
370,0.858483,285.744,0.0551012
369,0.774064,285.744,0.0561451
368,0.797518,285.794,0.0573404
367,0.727806,285.868,0.0588383
366,0.793695,285.941,0.0605245
365,0.927342,286.069,0.0622508
364,0.885428,286.187,0.0639889
363,0.893051,286.316,0.0662903
362,0.865459,286.462,0.0688293
361,0.825768,286.637,0.0714422
360,0.798798,286.85,0.0745561
359,0.815074,287.127,0.0779617
358,0.800416,287.435,0.0816564
357,0.689526,287.705,0.0854228
356,0.793424,288.046,0.0898224
355,0.842908,288.447,0.0945213
354,0.69753,288.884,0.099002
353,0.722415,289.299,0.103574
352,0.845892,289.717,0.108256
351,0.706744,290.137,0.112787
350,0.506443,290.548,0.11731
349,0.610147,290.93,0.121872
348,0.59884,291.275,0.126012
347,0.353411,291.584,0.129584
346,0.344328,291.822,0.132937
345,0.348034,292.016,0.135963
344,0.337689,292.209,0.139179
343,0.199648,292.427,0.142361
342,0.0928162,292.602,0.145155
341,0.12606,292.774,0.148481
340,0.0820963,292.973,0.151877
339,0.0259038,293.155,0.155051
338,0.0296814,293.312,0.158233
337,0.0271601,293.467,0.16115
336,0.0773534,293.602,0.16354
335,-0.0390406,293.715,0.164983
334,0.0154338,293.721,0.165385
333,-0.0327306,293.685,0.165368
332,-0.17723,293.649,0.165368
331,-0.217575,293.58,0.164928
330,-0.193851,293.519,0.16448
329,-0.211894,293.506,0.16479
328,-0.266978,293.556,0.16551
327,-0.233209,293.608,0.166527
326,-0.288566,293.621,0.167054
325,-0.347735,293.549,0.167129
324,-0.327007,293.28,0.166614
323,-0.394599,292.861,0.166094
322,-0.495204,292.882,0.165231
321,-0.555734,293.123,0.164885
320,-0.455462,293.184,0.165618
319,-0.476365,293.28,0.166472
318,-0.532861,293.421,0.167903
317,-0.603242,293.602,0.16927
316,-0.784761,293.8,0.171011
315,-0.896565,294.014,0.173401
314,-0.972378,294.133,0.175857
313,-0.959673,294.23,0.179295
312,-0.900367,294.564,0.182591
311,-0.941268,295.085,0.185429
310,-0.908949,295.481,0.187709
309,-0.774354,295.726,0.189584
308,-0.763353,295.97,0.191904
307,-0.709062,296.277,0.194773
306,-0.682843,296.678,0.198264
305,-0.631272,297.173,0.202837
304,-0.657303,297.689,0.207567
303,-0.665732,298.256,0.212651
302,-0.51167,298.887,0.218671
301,-0.520486,299.548,0.224672
300,-0.595346,300.262,0.231334
299,-0.502241,301.023,0.238142
298,-0.689215,301.792,0.245067
297,-0.535231,302.549,0.251955
296,-0.544919,303.348,0.258943
295,-0.514609,304.123,0.265831
294,-0.370181,304.938,0.27279
293,-0.494031,305.779,0.280008
292,-0.534056,306.391,0.287201
291,-0.422855,306.812,0.294323
290,-0.395255,308.164,0.301146
289,-0.414198,309.445,0.306686
288,-0.435115,310.181,0.311108
287,-0.294909,310.862,0.314319
286,-0.431034,311.575,0.316874
285,-0.605261,312.277,0.31866
284,-0.548617,313.002,0.319723
283,-0.689937,313.81,0.320829
282,-1.01753,314.739,0.322323
281,-1.46599,315.811,0.324069
280,-1.7432,317.073,0.32632
279,-2.00037,318.535,0.328659
278,-2.35757,320.088,0.330603
277,-2.60205,321.697,0.332079
276,-2.98993,323.37,0.332721
275,-3.16666,325.05,0.332427
274,-3.73989,326.689,0.331327
273,-3.84328,328.392,0.330022
272,-3.63809,330.171,0.328659
271,-3.99544,332.178,0.327497
270,-3.98054,334.481,0.327285
269,-4.19552,336.979,0.327715
268,-4.31587,339.653,0.329533
267,-4.48564,342.55,0.332929
266,-4.21813,345.714,0.338255
265,-4.19305,349.116,0.345044
264,-4.18625,352.749,0.353757
263,-3.98838,356.417,0.363919
262,-3.44934,360.039,0.374655
261,-3.42304,363.365,0.383667
260,-3.32515,366.252,0.389999
259,-3.57919,368.67,0.393418
258,-3.21759,370.71,0.395816
257,-2.81488,372.718,0.399803
256,-2.54737,374.901,0.407398
255,-2.04616,377.425,0.419867
254,-1.58437,380.248,0.436847
253,-1.06242,383.247,0.45708
252,-0.978614,386.367,0.479575
251,-0.129912,389.512,0.504121
250,0.605382,392.642,0.529965
249,1.62758,395.778,0.557261
248,2.58296,398.964,0.586629
247,3.56084,402.511,0.619425
246,4.62217,406.805,0.658242
245,4.78455,412.025,0.704939
244,5.65463,418.554,0.761617
243,6.68318,426.629,0.829479
242,7.14442,436.219,0.906796
241,7.50112,446.921,0.986155
240,8.09578,457.986,1.06452
239,8.81926,468.937,1.13907
238,9.17221,479.592,1.20967
237,9.39391,489.908,1.2764
236,10.3104,499.573,1.33707
235,10.4316,507.827,1.38702
234,10.7539,514.281,1.42406
233,11.6697,518.979,1.44854
232,11.487,522.485,1.46491
231,11.7274,525.417,1.47657
230,11.7461,527.99,1.48571
229,11.2694,530.54,1.49224
228,11.0186,532.532,1.49395
227,10.9359,533.381,1.48879
226,11.5064,533.152,1.47677
225,11.2573,532.084,1.45889
224,11.1699,530.543,1.43734
223,11.2705,528.938,1.41447
222,10.7787,527.488,1.39192
221,9.89516,526.292,1.371
220,9.72351,525.388,1.3521
219,8.9445,524.782,1.33476
218,8.20233,524.342,1.31849
217,7.30385,523.939,1.3024
216,6.26046,523.671,1.28641
215,4.60418,523.806,1.27198
214,4.28705,524.622,1.26081
213,2.32185,526.232,1.25157
212,0.905861,528.66,1.24432
211,0.215861,531.763,1.23968
210,-1.08296,535.694,1.23825
209,-2.44231,540.634,1.24065
